Median_Tot_prsnl_inc_weekly, Average_num_psns_per_bedroom, Median_age_persons, Median_Tot_fam_inc_weekly, LGA_NAME11, Median_mortgage_repay_monthly, Average_household_size, Median_Tot_hhd_inc_weekly, Median_rent_weekly, LGA_MAIN11
515,1.1,39,1181,"Tamworth Regional (A)",1430,2.5,958,200,"17310"
416,1.1,44,978,"Temora (A)",1083,2.3,779,132,"17350"
377,1.1,47,865,"Tenterfield (A)",1083,2.3,694,150,"17400"
719,1.1,38,2188,"The Hills Shire (A)",2570,3.1,2044,450,"17420"
473,1.1,44,1108,"Tumbarumba (A)",1083,2.3,884,150,"17450"
480,1.1,41,1208,"Tumut Shire (A)",1300,2.4,942,165,"17500"
442,1.1,45,1045,"Tweed (A)",1733,2.4,845,295,"17550"
552,1.1,39,1392,"Upper Hunter Shire (A)",1600,2.4,1071,170,"17620"
679,1.1,37,1925,"Glen Eira (C)",2147,2.5,1445,335,"22310"
463,1.1,43,1178,"Glenelg (S)",1148,2.3,899,161,"22410"
538,1.1,39,1385,"Golden Plains (S)",1500,2.8,1217,200,"22490"
513,1.1,38,1245,"Greater Bendigo (C)",1300,2.5,991,200,"22620"
562,1.1,30,1870,"Adelaide (C)",1857,1.9,1144,320,"40070"
665,1.1,42,1798,"Adelaide Hills (DC)",1700,2.7,1509,260,"40120"
454,1.1,47,1019,"Alexandrina (DC)",1365,2.3,861,210,"40220"
523,1.1,43,1193,"Clare and Gilbert Valleys (DC)",1200,2.4,945,180,"41140"
593,1.1,39,1327,"Augusta-Margaret River (S)",1733,2.5,1096,260,"50280"
575,1.1,40,1243,"Naracoorte and Lucindale (DC)",1083,2.4,1017,150,"45090"
459,1.1,46,1069,"Northern Areas (DC)",900,2.3,843,110,"45120"
601,1.1,39,1677,"Norwood Payneham St Peters (C)",1809,2.2,1133,260,"45290"
542,1.1,38,1311,"Onkaparinga (C)",1473,2.5,1080,250,"45340"
564,1.3,31,1237,"Boulia (S)",500,2.6,1072,51,"30900"
696,1.1,34,1873,"Brisbane (C)",2100,2.6,1547,350,"31000"
321,1.5,33,768,"Pormpuraaw (S)",0,3.5,1053,80,"36070"
578,1.1,40,1134,"Quilpie (S)",650,2.3,929,100,"36150"
608,1.1,39,1604,"Redland (C)",2000,2.7,1365,350,"36250"
577,1.1,37,1104,"Richmond (S)",715,2.4,964,47,"36300"
578,1.1,37,1435,"Rockhampton (R)",1690,2.6,1166,250,"36360"
493,1.1,42,1212,"Scenic Rim (R)",1733,2.6,1013,250,"36510"
445,1.1,41,1069,"Somerset (R)",1500,2.6,928,240,"36580"
726,1.1,31,1347,"Bulloo (S)",934,2.5,964,105,"31750"
423,1.1,43,980,"Bundaberg (R)",1350,2.4,833,230,"31820"
540,1.1,41,1284,"Burdekin (S)",1300,2.5,1009,180,"31900"
824,1.4,37,1231,"Burke (S)",884,2.6,1230,80,"31950"
620,1.1,36,1393,"Cairns (R)",1733,2.5,1145,250,"32070"
590,1.3,37,1310,"Carpentaria (S)",898,2.6,997,110,"32250"
503,1.1,42,1145,"Cassowary Coast (R)",1300,2.5,931,200,"32260"
831,1.1,31,2321,"Central Highlands (R)",2000,2.8,1998,112,"32270"
487,1.1,38,1221,"Charters Towers (R)",1350,2.5,979,170,"32310"
448,1.1,42,1001,"Southern Downs (R)",1300,2.4,837,195,"36660"
519,1.1,42,1219,"Sunshine Coast (R)",1863,2.5,1010,320,"36710"
451,1.1,43,1049,"Tablelands (R)",1424,2.4,854,188,"36810"
549,1.1,37,1308,"Toowoomba (R)",1517,2.5,1061,230,"36910"
682,1.4,28,1577,"Torres (S)",1817,3.4,1579,117,"36950"
314,1.4,23,788,"Torres Strait Island (R)",0,3.7,849,60,"36960"
675,1.1,33,1626,"Townsville (C)",1860,2.6,1381,290,"37010"
398,1.0,47,926,"Copper Coast (DC)",1083,2.2,749,185,"41560"
497,1.1,43,988,"Elliston (DC)",1083,2.3,804,62,"41750"
643,1.1,38,1620,"Bassendean (T)",1842,2.4,1277,300,"50350"
662,1.1,37,1622,"Bayswater (C)",1954,2.4,1290,300,"50420"
659,1.1,35,1556,"Belmont (C)",2000,2.4,1263,300,"50490"
404,1.1,51,909,"Beverley (S)",1200,2.2,771,95,"50560"
282,1.5,22,717,"Cherbourg (S)",0,4.3,786,75,"32330"
889,1.2,34,1871,"Cloncurry (S)",1500,2.7,1471,102,"32450"
497,1.3,38,1062,"Cook (S)",1000,2.3,831,140,"32500"
467,1.2,36,1053,"Croydon (S)",844,2.8,1020,115,"32600"
1242,1.2,30,2647,"Weipa (T)",2000,2.8,2503,231,"37300"
541,1.1,37,1294,"Western Downs (R)",1300,2.6,1067,200,"37310"
621,1.1,38,1405,"Whitsunday (R)",1768,2.4,1165,260,"37340"
679,1.0,37,1196,"Diamantina (S)",780,2.3,1083,116,"32750"
456,1.1,45,1055,"Brookton (S)",1200,2.4,867,86,"50910"
779,1.2,32,1809,"Broome (S)",2600,2.8,1610,193,"50980"
473,1.1,37,1023,"Broomehill-Tambellup (S)",965,2.7,859,70,"51080"
495,1.1,40,1088,"Bruce Rock (S)",451,2.3,841,74,"51120"
582,1.1,39,1445,"Bunbury (C)",1647,2.3,1139,250,"51190"
555,1.0,39,1334,"Busselton (S)",1881,2.5,1078,270,"51260"
915,1.1,39,2750,"Cambridge (T)",2600,2.6,2285,385,"51310"
595,1.1,34,1719,"Canning (C)",1900,2.7,1423,330,"51330"
664,1.1,34,1783,"Capel (S)",1993,2.9,1628,310,"51400"
549,1.0,45,1231,"Carnamah (S)",650,2.3,1007,95,"51470"
280,1.9,22,683,"Doomadgee (S)",303,5.1,1146,105,"32770"
487,1.2,43,944,"Etheridge (S)",650,2.3,729,70,"33100"
537,1.1,40,1175,"Flinders (S)",693,2.3,939,100,"33200"
396,1.1,44,912,"Fraser Coast (R)",1387,2.4,780,235,"33220"
689,1.1,35,1941,"Gladstone (R)",2000,2.7,1724,300,"33360"
571,1.1,37,1379,"Gold Coast (C)",2075,2.5,1174,350,"33430"
563,1.1,38,1232,"Goondiwindi (R)",1300,2.5,1026,160,"33610"
